temperatura,duracion_cementacion,concentracion_carbon,duracion_difusion,concentracion_carbon,resultados
1650,0.58,1.10,0.25,0.90,0.01
1650,0.66,1.10,0.33,0.90,0.02
1650,0.66,1.10,0.33,0.90,0.02
1650,0.66,1.10,0.33,0.95,0.02
1600,0.66,1.15,0.33,1.00,0.02
1600,0.66,1.15,0.33,1.00,0.02
1650,1.00,1.10,0.50,0.80,0.01
1650,1.17,1.10,0.58,0.80,0.02
1650,1.17,1.10,0.58,0.80,0.02
1650,1.17,1.10,0.58,0.80,0.02
1650,1.17,1.10,0.58,0.90,0.02
1650,1.17,1.10,0.58,0.90,0.02
1650,1.17,1.15,0.58,0.90,0.02
1650,1.20,1.15,1.10,0.80,0.03
1650,2.00,1.15,1.00,0.80,0.03
1650,2.00,1.10,1.10,0.80,0.03
1650,2.20,1.10,1.10,0.80,0.02
1650,2.20,1.10,1.10,0.80,0.03
1650,2.20,1.15,1.10,0.80,0.02
1650,2.20,1.10,1.10,0.90,0.03
1650,2.20,1.10,1.10,0.90,0.03
1650,2.20,1.10,1.50,0.90,0.03
1650,3.00,1.15,1.50,0.80,0.03
1650,3.00,1.10,1.50,0.70,0.03
1650,3.00,1.10,1.50,0.75,0.03
1650,3.00,1.15,1.66,0.85,0.03
1650,3.33,1.10,1.50,0.80,0.03
1700,4.00,1.10,1.50,0.70,0.04
1650,4.00,1.10,1.50,0.70,0.04
1650,4.00,1.15,1.50,0.85,0.04
1700,12.50,0 1.0,0 1.5,0 0.7,0 0.056
1700,18.50,0 1.0,0 1.5,0 0.7,0 0.068
